,Wban,date,Time,StationType,sky_condition,visibility,dry_bulb_faren,dry_bulb_cel,wet_bulb_faren,wet_bulb_cel,dew_point_faren,dew_point_cel,relative_humidity,wind_speed,wind_direction,station_pressure,sea_level_pressure
0,13904,20110101,53,12,OVC045,10.00,51,10.6,38,3.1,15,-9.4, 24,15,360,29.42,29.95
1,13904,20110101,153,12,OVC049,10.00,51,10.6,37,3.0,14,-10.0, 23,10,340,29.49,30.01
2,13904,20110101,253,12,OVC060,10.00,51,10.6,37,2.9,13,-10.6, 22,15,010,29.49,30.01
3,13904,20110101,353,12,OVC065,10.00,50,10.0,38,3.1,17,-8.3, 27, 7,350,29.51,30.03
4,13904,20110101,453,12,BKN070,10.00,50,10.0,37,2.8,15,-9.4, 25,11,020,29.51,30.04
5,13904,20110101,553,12,BKN065,10.00,49,9.4,37,2.8,17,-8.3, 28, 6,010,29.53,30.06
6,13904,20110101,653,12,BKN065,10.00,48,8.9,37,2.5,17,-8.3, 29, 7,360,29.57,30.10
7,13904,20110101,753,12,SCT060,10.00,48,8.9,37,2.5,17,-8.3, 29,11,020,29.59,30.12
8,13904,20110101,853,12,FEW060,10.00,51,10.6,38,3.3,16,-8.9, 25,15,020,29.62,30.16
9,13904,20110101,953,12,FEW060,10.00,54,12.2,40,4.2,16,-8.9, 22,18,010,29.65,30.19
10,13904,20110101,1053,12,FEW060,10.00,56,13.3,41,4.9,17,-8.3, 22,15,030,29.66,30.20
11,13904,20110101,1153,12,FEW060,10.00,57,13.9,42,5.4,19,-7.2, 23,14,010,29.66,30.20
12,13904,20110101,1253,12,FEW250,10.00,59,15.0,44,6.4,22,-5.6, 24,14,020,29.65,30.18
13,13904,20110101,1353,12,CLR,10.00,59,15.0,45,7.0,26,-3.3, 28,14,010,29.63,30.16
14,13904,20110101,1453,12,CLR,10.00,59,15.0,45,7.2,27,-2.8, 29,16,360,29.63,30.16
15,13904,20110101,1553,12,CLR,10.00,57,13.9,44,6.6,27,-2.8, 32,11,350,29.63,30.17
16,13904,20110101,1653,12,CLR,10.00,55,12.8,43,6.1,27,-2.8, 34,13,040,29.65,30.18
17,13904,20110101,1753,12,CLR,10.00,50,10.0,40,4.5,26,-3.3, 39,10,040,29.66,30.21
18,13904,20110101,1853,12,CLR,10.00,47,8.3,39,3.9,28,-2.2, 48, 9,040,29.69,30.24
19,13904,20110101,1953,12,CLR,10.00,45,7.2,37,2.8,25,-3.9, 46,11,040,29.72,30.27
20,13904,20110101,2053,12,CLR,10.00,41,5.0,35,1.4,24,-4.4, 51, 8,040,29.74,30.29
21,13904,20110101,2153,12,CLR,10.00,40,4.4,34,1.0,24,-4.4, 53, 7,050,29.76,30.30
22,13904,20110101,2253,12,CLR,10.00,38,3.3,32,0.0,22,-5.6, 53, 6,030,29.77,30.32
23,13904,20110101,2353,12,CLR,10.00,38,3.3,32,-0.0,21,-6.1, 50, 3,050,29.78,30.33
24,13904,20110102,53,12,CLR,10.00,30,-1.1,27,-2.8,21,-6.1, 69, 6,340,29.78,30.33
25,13904,20110102,153,12,CLR,10.00,29,-1.7,26,-3.3,20,-6.7, 69, 8,350,29.79,30.34
