"","CloneID","UGCluster","Symbol","LLID","UGRepAcc","LLRepProtAcc","Chromosome","Cytoband"
"25725",25725,"Hs.191435","FDFT1","2222","AK098208","NP_004453","8","8p23.1-p22"
"193913",193913,"Hs.80887","LYN","4067","BC059394","NP_002341","8","8q13"
"725454",725454,"Hs.83758","CKS2","1164","BQ898943","NP_001818","9","9q22"
"297392",297392,"Hs.374950","MT1X","4501","BM458221","NP_005943","16","16q13"
"236282",236282,"Hs.2157","WAS","7454","BM455138","NP_000368","X","Xp11.4-p11.21"
"298062",298062,"Hs.407132","TNNT2","7139","AL832707","NP_000355","1","1q32"
"284001",284001,"Hs.2891","PRKCM","5587","NM_002742","NP_002733","14","14q11"
"283315",283315,"In multiple clusters","","","","","",""
"897177",897177,"Hs.511830","","144483","BG033580","","10;12;X","12q22"
"755750",755750,"Hs.433416","NME2","4831","BG114681","NP_002503","17;12","17q21.3"
"769716",769716,"Hs.902","NF2","4771","NM_181826","NP_861973","22","22q12.2"
"296448",296448,"Hs.349109","IGF2","3481","AK074614","NP_000603","11","11p15.5"
"435953",435953,"Hs.77515","ITPR3","3710","NM_002224","NP_002215","6;3","6p21"
"343867",343867,"Hs.76364","AIF1","199","BM709336","NP_116573","6","6p21.3"
"365515",365515,"Hs.433252","FGF7","2252","NM_002009","NP_002000","15","15q15-q21.1"
"769959",769959,"Hs.407912","COL4A2","1284","NM_001846","NP_001837","13","13q34"
"491692",491692,"Hs.437173","COL4A1","1282","NM_001845","NP_001836","13;2","13q34"
"756556",756556,"Hs.384598","SERPING1","710","NM_000062","NP_000053","11;1;2;9","11q12-q13.1"
"868304",868304,"Hs.208641","ACTA2","59","BX647362","NP_001604","10","10q23.3"
"236034",236034,"Hs.80658","UCP2","7351","AK025742","NP_003346","11","11q13"
"1469292",1469292,"Hs.80205","PIM2","11040","NM_006875","NP_006866","X","Xp11.23"
"767495",767495,"Hs.72916","GLI3","2737","M57609","NP_000159","7","7p13"
"377468",377468,"Hs.436944","SPRY1","10252","BC063856","NP_955359","4","4q28.1"
"207274",207274,"Hs.251664","","","AF318382","","11",""
"796613",796613,"Data not found","","","","","",""
"1493527",1493527,"Hs.446546","ASNS","440","NM_133436","NP_899199","7","7q21.3"
"280507",280507,"Hs.412707","HPRT1","3251","NM_000194","NP_000185","X","Xq26.1"
"461425",461425,"Hs.356717","MYL4","4635","BU736020","NP_002467","17;11","17q21-qter"
"163174",163174,"Hs.78869","TCEA1","6917","BX538034","NP_958845","8;3","8q11.2"
"68977",68977,"Hs.9661","PSMB10","5699","BM675396","NP_002792","16","16q22.1"
"769657",769657,"In multiple clusters","","","","","",""
"42558",42558,"Hs.75335","GATM","2628","AK098055","NP_001473","15","15q15.1"
"44975",44975,"Hs.76038","IDI1","3422","BX648472","NP_004499","10","10p15.3"
"45542",45542,"Hs.380833","IGFBP5","3488","L27560","NP_000590","2;12","2q33-q36"
"301122",301122,"Hs.81071","ECM1","1893","AK097205","NP_073155","1","1q21"
"245330",245330,"Hs.349109","IGF2","3481","AK074614","NP_000603","11","11p15.5"
"752652",752652,"Hs.214039","TCF7L2","6934; 79938","BX648364","NP_110383","10","10q25.3"
"47475",47475,"Hs.211201","CYFIP2","26999; 81032","BC021008","NP_055191","5","5q33.3"
"767183",767183,"Hs.14601","HCLS1","3059","AK124015","NP_005326","3","3q13"
"41591",41591,"Hs.268515","MN1","4330","NM_002430","NP_002421","22","22q11"
"241412",241412,"Hs.124030","ELF1","1997","BC010575","NP_758961","13","13q13"
"183337",183337,"Hs.351279","HLA-DMA","3108","AK055186","NP_006111","6;10;5","6p21.3"
"839552",839552,"Hs.386092","NCOA1","8648","NM_147223","NP_671766","2;6","2p23"
"789204",789204,"Hs.158193","TLOC1","7095","BX537668","NP_003253","3","3q26.2-q27"
"824602",824602,"Hs.370873","IFI16","3428","AF208043","NP_005522","1","1q22"
"796258",796258,"Hs.99931","SGCA","6442","BC014215","NP_000014","17","17q21"
"796904",796904,"Hs.132911","PLAGL1","5325","U72621","NP_006709","6","6q24-q25"
"814465",814465,"Hs.367667","PMS2L6","5384; 5379; 402681","BC038996","","7","7q22.1"
"1409509",1409509,"Hs.73980","TNNT1","7138","BI087655","NP_003274","19","19q13.4"
"489489",489489,"Hs.435166","LBR","3930","NM_002296","NP_919424","1","1q42.1"
"263716",263716,"Hs.415997","COL6A1","1291","NM_001848","NP_001839","21;12","21q22.3"
"755145",755145,"Hs.403997","VIL2","7430","NM_003379","NP_003370","6;22;5","6q25.2-q26"
"700792",700792,"Hs.84113","CDKN3","1033","BQ056337","NP_005183","14","14q22"
"788107",788107,"Hs.193163","BIN1","274","AK127325","NP_647601","2;11","2q14"
"843070",843070,"Hs.172108","NUP88","4927","NM_002532","NP_002523","17","17p13.2"
"246035",246035,"In multiple clusters","","","","","",""
"66714",66714,"Data not found","","","","","",""
"143306",143306,"Hs.446566","","","BC030764","","2;1",""
"324494",324494,"Hs.78846","HSPB2","3316","AB096250","NP_001532","11","11q22-q23"
"490772",490772,"Hs.434901","SNRPA1","6627","AK090986","NP_003081","15;22;2","15q26.3"
"770444",770444,"Hs.80919","SYPL","6856","AK128299","NP_874384","7","7q22.2"
"344134",344134,"Hs.348935","IGLL1","3543","BX422701","NP_690594","22","22q11.23"
"298417",298417,"Hs.82961","TFF3","7033","BU536516","NP_003217","21","21q22.3"
"855390",855390,"Hs.444118","MCM6","4175","NM_005915","NP_005906","2","2q21"
"770059",770059,"Hs.470489","","401944","AK127275","","1","1p36.12"
"80649",80649,"Hs.306307","ROCK1","6093","NM_005406","NP_005397","18","18q11.2"
"745019",745019,"Hs.155119","EHD1","10938","AK124613","NP_006786","11;15","11q13"
"740604",740604,"Hs.105434","ISG20","3669","BC016341","NP_002192","15","15q26"
"781047",781047,"Hs.287472","BUB1","699","AF053305","NP_004327","2","2q14"
"129387",129387,"Hs.316977","IPO8","10526","NM_006390","NP_006381","12","12p11.22"
